Vegetation Type,Mature Age,Max Age,Walkdown Factor,FIA_Code
Alder / maple group,36,200,0.82,"910, 911, 912"
Aspen / birch group,91,185,0.51,"900, 901, 902, 903, 904, 905 "
California mixed conifer group,129,,0.8,"370, 371"
Douglas-fir group,166,1200,0.86,"200, 201, 202, 203"
Elm / ash / cottonwood group,62,241,0.74,"700, 701, 702, 703, 704, 705, 706, 707, 708, 709, 722"
Exotic softwoods group,24,,0.8,"380, 381, 383, 384, 385"
Fir / spruce / mountain hemlock,167,799,0.79,"260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271"
Hemlock / Sitka spruce group,119,867,0.86,"300, 301, 304, 305"
Loblolly / shortleaf pine group,20,230,0.91,"160, 161, 162, 163, 164, 165, 166, 167, 168"
Lodgepole pine group,152,300,0.49,"280, 281"
Longleaf / slash pine group,21,400,0.95,"140, 141, 142"
Maple / beech / birch group,73,270,0.73,"800, 801, 802, 805, 809"
Oak / gum / cypress group,55,525,0.9,"600, 601, 602, 605, 606, 607, 608, 609"
Oak / hickory group,66,281,0.76,"500, 501, 502, 503, 504, 505, 506, 507, 508, 509, 510, 511, 512, 513, 514, 515, 516, 517, 519, 520"
Oak / pine group,53,263,0.8,"400, 401, 402, 403, 404, 405, 406, 407, 409"
Other eastern softwoods group,45,300,0.85,"170, 171, 172"
Other hardwoods group,85,,0.8,"960, 961, 962"
Other western softwoods group,313,,0.8,"360, 361, 362, 363, 364, 365, 366, 367, 368, 369"
Pinyon / juniper group,111,544,0.8,"180, 182, 184, 185"
Ponderosa pine group,102,594,0.83,"220, 221, 222, 224, 225, 226"
Redwood group,,,0.8,"340, 341, 342"
Spruce / fir group,68,257,0.74,"120, 121, 122, 123, 124, 125, 126, 127, 128, 129"
Tanoak / laurel group,59,300,0.8,"940, 941, 942, 943"
Tropical hardwoods group,70,,0.8,"980, 982, 983, 984, 985, 986, 987, 988, 989"
Western larch group,68,915,0.93,"320, 321"
Western oak group,140,340,0.59,"920, 921, 922, 923, 924, 931, 933, 934, 935"
Western white pine group,,,0.8,"240, 241"
White / red / jack pine group,66,425,0.85,"100, 101, 102, 103, 104, 105"
Woodland hardwoods group,158,,0.8,"970, 971, 972, 973, 974, 975, 976"
