region,Forest_Region,FIA_Code,OG_Type,SDI_Diameter,SDI,QMD_Diameter, QMD_Count,Habitat_Type_Codes
3,3,"201, 261, 265, 266, 269",Spruce-Fir Forest,,,10,18,"415, 435, 604, 1100, 3060, 3080, 3090, 3110, 3111, 3112, 3200, 3201, 3202, 3203, 3231, 3240, 3300, 3301, 3310, 3320, 3350, 3370, 3999, 4060, 4061, 4062, 4151, 4152, 4300, 4310, 4320, 4330, 4340, 4350, 4351, 4360, 4999, 26005, 240300"
3,3,"370, 371, 900, 901",Mixed Conifer w/ Aspen,,,10,18,"1010, 1011, 1012, 1020, 1030, 1070, 1080, 1081, 1110, 1111, 1120, 1150, 1160, 1231, 1999, 6010, 6060, 6070, 6071, 6080, 6130, 12320, 12333"
3,3,365,Bristlecone Pine,,,10,18,"238040, 238310"
3,3,"370, 371, 368",Mixed Conifer -- Frequent Fire,18,56,,,"1021, 1022, 1040, 1041, 1042, 1050, 1051, 1052, 1053, 1054, 1060, 1090, 1140, 1141, 1203, 1213, 1239, 1241, 6090, 11130, 12140, 12141, 12142, 12143, 12330, 12331, 12332, 12340, 12341, 12350, 12360, 12361, 12362, 12380, 12420, 12430, 12999, 238300"
3,3,"220, 221",Ponderosa Pine Forest,18,57,,,"11030, 11031, 11032, 11033, 11035, 11090, 11091, 11092, 11093, 11210, 11211, 11212, 11213, 11214, 11215, 11216, 11320, 11330, 11340, 11341, 11350, 11380, 11390, 11391, 11392, 11400, 11460, 11500, 11999"
3,3,"220, 221, 972",Ponderosa Pine -- Evergreen Oak,18,26,,,"11034, 11220, 11360, 11361, 11370, 11410, 11411, 11420, 11430, 11440, 32010, 32030, 32999, 33010, 33020, 33030"
3,3,,PJ Evergreen Shrub,,,10,18,"3102, 204400, 230030, 230040, 230041, 230042, 230999, 231010, 232070, 233010, 233030, 233040, 233041, 233042, 233050"
3,3,,PJ Woodland (persistent),,,10,18,"202500, 202500, 204320, 204330, 204500, 232020, 232330, 233330"
3,3,,PJ Sagebrush,,,10,18,"20406, 20410, 20411, 20431, 23204, 204021, 204022, 204023, 204024, 204300, 204350, 204370, 204999, 231020, 232030, 232999, 233020, 233021, 233022, 233999, 9000042"
3,3,,PJ Deciduous Shrub,,,10,18,"20404, 204050, 204321, 2040303"
3,3,,PJ Grass,18,29,,,"20406, 20410, 20411, 20431, 23204, 204021, 204022, 204023, 204024, 204300, 204350, 204370, 204999, 231020, 232030, 232999, 233020, 233021, 233022, 233999, 9000042"
3,3,,Juniper Grass,18,36,,,"20140, 201010, 201011, 201020, 201040, 201331, 201332, 201333, 201340, 201350, 201400, 201410, 201999, 202320, 202321, 202330, 202331, 202999, 231021, 231030, 231040, 231050, 231999, 9000043"
3,3,"503, 971, 972",Madrean Pinyon-Oak,18,20,,,"3101, 204360, 232050, 232060, 630010, 630030, 630040, 630043, 630050, 2040301, 2040302"
3,3,"973, 975, 976",Madrean Encinal Woodland,18,20,,,"31999, 610010, 610020, 620010, 620020, 620021, 620030, 620999, 630020, 630041, 630042, 632999, 650010, 650999"
3,3,"413, 971",Gambel Oak Shrubland,,,10,18,640999
3,3,,Semi-Desert Grassland,18,36,,,"201420, 201430, 210999"
3,3,"220, 221, 704",Ponderosa Pine/Willow,18,57,,,11470
3,3,962,Arizona Walnut,,,10,18,"1130, 620040"
3,3,703,Rio Grande Cottonwood/Shrub,,,10,18,104
3,3,703,"Narrowleaf Cottonwood - Spruce, Narrowleaf Cottonwood/Shrub",,,10,18,103
3,3,362,Upper Montane Conifer/Willow,,,10,18,3
